state,county,winning_party,votes_for_winner,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,majority_race
Kentucky,Rowan County,REP,5994,24392.0,11727.0,12665.0,2.0,94.5,1.4,0.1,0.7,0.0,19317.0,36411.0,3640.0,19032.0,1234.0,26.7,33.5,34.3,23.0,21.0,8.4,13.3,79.9,12.0,1.0,1.8,1.6,3.7,22.1,10073.0,75.3,20.5,4.1,0.1,4.5,White
Kentucky,Russell County,REP,7519,17731.0,8630.0,9101.0,3.6,94.0,0.5,0.2,0.5,0.6,13533.0,34660.0,2755.0,18857.0,1004.0,25.3,34.2,28.3,15.3,18.7,10.8,26.9,86.4,9.2,0.4,1.6,0.2,2.3,20.6,6282.0,78.6,14.6,6.7,0.0,9.4,White
Kentucky,Scott County,REP,17767,52322.0,25858.0,26464.0,4.3,87.2,4.7,0.2,0.9,0.0,37660.0,65598.0,1993.0,30702.0,1397.0,11.5,16.1,34.5,15.3,19.1,9.1,22.0,82.9,10.1,0.6,1.9,0.8,3.7,21.1,26798.0,80.9,14.1,4.8,0.1,4.8,White
Kentucky,Shelby County,REP,15055,45831.0,22151.0,23680.0,9.1,80.4,6.8,0.0,0.8,0.0,32803.0,63171.0,2975.0,30240.0,1350.0,12.4,17.1,33.3,16.9,23.3,9.7,16.8,82.1,9.5,0.4,2.3,1.3,4.4,25.4,22446.0,80.6,12.3,6.7,0.3,4.4,White
Kentucky,Simpson County,REP,5888,17881.0,8883.0,8998.0,2.2,85.5,9.5,1.0,0.8,0.0,13319.0,44989.0,4615.0,22663.0,1404.0,17.4,30.1,25.7,15.6,25.1,8.5,25.1,88.4,6.2,0.2,0.6,2.2,2.5,19.5,7888.0,81.7,11.2,6.8,0.3,5.1,White
Kentucky,Spencer County,REP,8737,18012.0,9193.0,8819.0,2.0,94.4,1.0,0.0,1.0,0.0,13735.0,68916.0,4576.0,30779.0,1967.0,8.7,8.3,33.3,12.5,20.4,12.5,21.3,85.6,9.6,0.3,0.9,1.2,2.4,32.0,9070.0,82.7,12.6,4.7,0.0,5.6,White
Kentucky,Taylor County,REP,9376,25406.0,12381.0,13025.0,2.3,89.8,4.7,0.0,0.9,0.0,19372.0,36455.0,2861.0,19885.0,1379.0,23.1,36.5,26.1,17.0,26.0,10.3,20.6,82.1,9.1,0.1,3.8,1.3,3.7,19.0,10454.0,81.8,12.3,5.6,0.3,7.6,White
Kentucky,Todd County,REP,4062,12377.0,6194.0,6183.0,3.8,86.0,7.8,0.1,0.1,0.0,8875.0,38248.0,3788.0,19555.0,1415.0,20.1,25.0,25.6,12.2,18.6,13.1,30.6,83.8,8.9,0.0,0.8,2.8,3.6,26.4,4759.0,71.8,17.1,10.7,0.3,6.9,White
Kentucky,Trigg County,REP,5487,14286.0,7053.0,7233.0,2.0,88.3,8.8,0.0,0.4,0.0,11147.0,47259.0,5396.0,26224.0,1915.0,15.8,28.1,30.8,16.7,21.4,10.4,20.7,84.0,9.0,0.0,2.8,1.0,3.2,26.8,5709.0,75.0,19.0,5.9,0.2,10.4,White
Kentucky,Trimble County,REP,3227,8697.0,4265.0,4432.0,2.9,94.5,0.0,0.3,0.1,0.3,6676.0,50998.0,5681.0,26542.0,2618.0,15.2,25.1,24.7,16.7,21.6,15.8,21.2,82.1,11.3,0.0,0.2,1.6,4.9,28.7,3856.0,79.7,13.3,6.3,0.6,10.5,White
Kentucky,Union County,REP,4965,14915.0,7760.0,7155.0,1.9,82.6,13.1,0.1,0.3,0.0,11788.0,42139.0,4009.0,21758.0,1118.0,22.9,25.8,22.4,18.3,17.8,20.5,21.0,78.7,7.9,0.6,11.0,1.3,0.5,20.3,6533.0,70.3,23.1,6.3,0.2,7.3,White
Kentucky,Warren County,REP,31791,123824.0,60616.0,63208.0,5.1,79.6,9.2,0.4,3.3,0.2,89986.0,49508.0,2374.0,25840.0,815.0,18.0,23.2,32.5,17.5,25.4,7.1,17.5,81.2,11.4,0.3,3.2,1.0,2.9,20.2,60183.0,81.1,14.3,4.5,0.1,5.6,White
Kentucky,Washington County,REP,4482,11999.0,5873.0,6126.0,4.3,87.7,5.2,0.0,0.8,0.0,8995.0,47843.0,3368.0,22611.0,1420.0,17.0,20.1,26.8,15.7,18.5,12.2,26.9,81.6,9.9,1.1,1.3,2.0,4.0,26.5,5629.0,74.8,14.6,10.4,0.3,5.7,White
Kentucky,Wayne County,REP,7430,20692.0,10320.0,10372.0,3.1,93.5,1.4,0.1,0.2,0.0,15979.0,33715.0,2908.0,17627.0,1413.0,23.2,31.1,25.8,19.4,22.3,11.1,21.5,85.2,8.2,0.8,1.8,0.8,3.2,20.9,6992.0,74.9,19.2,5.7,0.2,10.1,White
Kentucky,Webster County,REP,4506,13180.0,6502.0,6678.0,5.2,88.6,3.9,0.1,0.0,0.0,9828.0,39273.0,3211.0,21150.0,1376.0,21.4,36.6,26.7,16.2,17.6,16.2,23.2,82.3,12.3,0.1,3.2,0.5,1.6,25.3,5098.0,81.4,12.4,6.1,0.1,6.1,White
Kentucky,Whitley County,REP,12567,36027.0,17686.0,18341.0,1.2,96.1,1.2,0.3,0.1,0.0,27075.0,34103.0,3043.0,18463.0,1591.0,25.2,32.9,31.0,17.6,25.9,9.2,16.3,81.6,11.1,0.6,4.1,0.6,2.0,20.6,12794.0,73.4,22.1,4.6,0.0,9.2,White
Kentucky,Wolfe County,REP,2097,7251.0,3522.0,3729.0,0.3,98.2,0.3,0.4,0.0,0.0,5544.0,21999.0,3937.0,13533.0,1781.0,36.9,45.3,18.7,35.0,16.5,15.3,14.5,82.0,12.1,0.0,0.5,1.9,3.5,31.1,1895.0,61.5,32.1,4.7,1.7,10.5,White
Kentucky,Woodford County,REP,8362,25817.0,12356.0,13461.0,6.6,86.5,4.4,0.0,0.3,0.0,19007.0,60604.0,2510.0,31208.0,1756.0,14.5,28.1,40.0,16.6,19.3,11.4,12.8,82.0,8.8,0.1,2.5,1.4,5.3,21.9,13099.0,76.6,15.1,8.2,0.0,3.8,White
Louisiana,Acadia Parish,REP,22596,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,45197.0,40492.0,2544.0,21591.0,1002.0,21.5,27.6,27.6,16.9,25.7,15.0,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982.0,80.0,12.1,7.6,0.3,8.9,White
Louisiana,Allen Parish,REP,7574,25667.0,14542.0,11125.0,4.9,71.1,19.0,1.8,0.7,0.0,19205.0,42176.0,3540.0,20103.0,1700.0,16.6,22.4,29.1,23.1,21.3,15.0,11.5,84.3,9.8,0.7,0.7,2.2,2.3,28.3,8577.0,72.8,23.8,3.2,0.2,9.4,White
Louisiana,Ascension Parish,REP,40687,119129.0,58718.0,60411.0,5.3,69.4,21.8,0.0,0.9,0.0,84202.0,74748.0,2416.0,31520.0,924.0,11.7,15.2,37.3,15.0,23.5,11.0,13.1,87.1,7.8,0.1,0.5,1.0,3.6,30.0,57496.0,80.7,14.1,5.2,0.1,6.3,White
Louisiana,Assumption Parish,REP,7271,22881.0,11085.0,11796.0,2.8,65.8,29.7,0.6,0.3,0.0,17528.0,48656.0,4294.0,25765.0,1924.0,15.7,23.2,26.1,18.6,20.9,18.3,16.1,87.3,8.2,0.2,1.0,1.8,1.5,29.6,9375.0,81.4,13.9,4.1,0.7,6.9,White
Louisiana,Avoyelles Parish,REP,12028,41095.0,20693.0,20402.0,1.8,65.3,30.1,1.2,0.1,0.1,31157.0,36763.0,2183.0,20199.0,987.0,23.7,31.7,31.6,24.4,17.4,12.6,14.0,85.2,9.0,0.2,2.0,2.0,1.6,30.2,14753.0,75.3,19.7,4.9,0.1,7.7,White
Louisiana,Beauregard Parish,REP,13575,36598.0,18631.0,17967.0,3.7,80.0,12.7,0.6,0.4,0.0,26980.0,47350.0,3568.0,24551.0,1535.0,17.3,20.2,29.2,16.2,21.2,18.2,15.3,80.6,12.0,0.3,1.8,3.6,1.6,30.1,14174.0,76.5,18.2,5.2,0.1,7.4,White
Louisiana,Bienville Parish,REP,3891,13806.0,6692.0,7114.0,1.7,54.3,41.5,0.1,0.0,0.0,10703.0,34077.0,3437.0,22701.0,1887.0,25.3,36.6,30.0,15.8,19.1,13.9,21.2,86.0,8.6,0.2,1.6,0.8,2.8,32.6,5020.0,68.9,23.4,6.8,0.9,7.4,White
Louisiana,Bossier Parish,REP,38074,125698.0,62214.0,63484.0,6.5,67.6,21.6,0.5,1.5,0.1,91455.0,52145.0,2315.0,27235.0,825.0,16.4,22.9,37.0,17.5,24.1,11.4,9.9,86.9,7.0,0.3,1.4,1.4,3.0,21.7,54751.0,76.0,18.8,5.0,0.1,5.8,White
Louisiana,Caddo Parish,DEM,55110,251069.0,119235.0,131834.0,2.8,45.6,48.3,0.4,1.2,0.0,187462.0,40391.0,1046.0,25565.0,801.0,23.4,35.7,33.1,21.5,24.4,8.9,12.0,86.4,7.2,1.8,1.2,1.0,2.4,20.9,105583.0,81.2,14.1,4.6,0.1,7.0,Black
Louisiana,Calcasieu Parish,REP,55066,198753.0,96906.0,101847.0,3.2,68.2,24.6,0.3,1.4,0.0,146328.0,48219.0,1329.0,26569.0,535.0,16.8,24.3,30.6,21.1,22.5,12.6,13.2,86.1,8.2,0.3,1.5,1.8,2.1,20.5,90318.0,80.9,14.0,5.0,0.1,6.6,White
Louisiana,Caldwell Parish,REP,3976,10000.0,5313.0,4687.0,3.1,79.1,16.8,0.6,0.2,0.0,7594.0,31933.0,3546.0,20961.0,2724.0,26.2,34.3,23.8,25.4,24.3,14.8,11.7,84.4,7.2,0.0,4.4,2.3,1.7,23.7,3451.0,69.9,25.4,4.6,0.0,9.4,White
Louisiana,Cameron Parish,REP,3671,6806.0,3289.0,3517.0,5.5,91.3,2.8,0.0,0.3,0.0,5083.0,60194.0,8102.0,29681.0,2967.0,8.7,7.9,24.9,12.0,26.8,17.8,18.5,86.7,8.6,0.2,0.8,2.8,0.9,33.6,3118.0,76.5,16.3,7.0,0.3,3.0,White
Louisiana,Catahoula Parish,REP,3541,10044.0,5359.0,4685.0,1.5,66.0,31.9,0.1,0.2,0.0,7790.0,34470.0,6967.0,20717.0,1656.0,21.8,31.9,32.0,19.4,20.6,18.2,9.9,91.3,5.7,0.0,1.0,1.5,0.6,23.3,3671.0,67.0,22.6,10.1,0.4,5.6,White
Louisiana,Claiborne Parish,REP,3770,16296.0,9360.0,6936.0,1.4,45.6,51.2,0.2,0.0,0.0,13224.0,26877.0,1827.0,16384.0,1198.0,29.9,44.8,24.8,21.4,17.7,16.1,20.1,84.7,9.2,0.0,3.8,0.3,2.0,26.2,5311.0,70.1,22.1,7.4,0.5,9.4,Black
Louisiana,Concordia Parish,REP,5550,20211.0,10319.0,9892.0,1.3,56.9,41.1,0.1,0.2,0.1,15287.0,30028.0,4822.0,17551.0,1563.0,31.2,44.7,24.1,21.7,28.7,14.6,10.8,91.4,5.1,0.3,1.2,1.3,0.8,20.2,6768.0,76.7,16.9,6.4,0.0,9.2,White
Louisiana,De Soto Parish,REP,9112,27164.0,13154.0,14010.0,2.8,58.2,36.7,1.1,0.2,0.1,20385.0,41443.0,2657.0,23471.0,1200.0,26.3,41.3,28.0,17.7,23.0,14.7,16.7,86.2,9.6,0.7,0.9,0.5,2.1,29.2,10301.0,81.4,15.2,3.3,0.1,10.6,White
Louisiana,East Baton Rouge Parish,DEM,115577,446167.0,214073.0,232094.0,4.0,45.2,45.6,0.1,3.4,0.0,330962.0,51436.0,946.0,30162.0,560.0,19.1,25.8,38.1,18.7,24.4,8.4,10.5,82.9,9.8,1.6,1.8,1.2,2.8,23.6,216397.0,78.6,16.7,4.5,0.1,6.9,Black
Louisiana,East Carroll Parish,DEM,1900,7318.0,4409.0,2909.0,0.5,27.3,71.6,0.0,0.0,0.0,5958.0,20795.0,3343.0,14694.0,2763.0,48.2,76.5,32.7,28.0,18.4,10.4,10.4,90.0,7.3,0.0,0.9,0.1,1.7,12.3,1697.0,74.2,18.2,7.6,0.0,6.9,Black
Louisiana,East Feliciana Parish,REP,6064,19553.0,10667.0,8886.0,1.5,52.9,44.4,0.3,0.2,0.0,15743.0,46964.0,4848.0,21138.0,1401.0,17.9,22.8,27.0,22.6,22.2,14.5,13.7,88.1,7.2,0.1,1.8,0.2,2.5,30.6,6920.0,71.2,24.6,3.9,0.4,6.1,White
Louisiana,Evangeline Parish,REP,11053,33750.0,17232.0,16518.0,3.4,67.0,27.4,0.1,0.4,0.0,24179.0,31745.0,1823.0,18655.0,1000.0,26.4,35.5,27.7,20.1,21.7,15.8,14.7,87.5,6.4,0.0,2.9,1.7,1.4,28.3,11578.0,78.3,13.8,7.9,0.0,11.9,White
Louisiana,Franklin Parish,REP,6970,20388.0,9991.0,10397.0,0.2,65.3,33.4,0.0,0.0,0.0,15137.0,34722.0,2998.0,18786.0,1244.0,28.8,43.0,25.5,15.2,28.5,17.9,12.9,86.7,5.6,0.2,1.9,2.6,3.0,21.8,7285.0,75.8,14.1,10.0,0.1,8.8,White
Louisiana,Grant Parish,REP,8117,22305.0,12669.0,9636.0,4.9,76.6,15.2,1.3,0.2,0.0,16845.0,40577.0,2656.0,18509.0,1109.0,20.2,26.1,25.7,20.3,21.6,15.3,17.0,79.0,14.7,0.6,0.7,2.9,2.2,34.5,7248.0,73.6,21.6,4.7,0.1,7.9,White
Louisiana,Iberia Parish,REP,21251,73346.0,35791.0,37555.0,4.0,59.2,31.4,0.1,2.8,0.0,52333.0,44504.0,2274.0,23410.0,1513.0,20.4,31.0,26.4,19.0,24.9,15.2,14.4,84.2,9.5,0.4,2.2,2.1,1.6,24.2,30316.0,80.6,12.9,6.5,0.1,11.2,White
